1	23	LOSE	0.0	21 	 0%
2	41	LOSE	0.0	17 	 0%
3	61	LOSE	0.0	18 	 0%
4	78	LOSE	0.0	17 	 0%
5	108	LOSE	0.0	23 	 0%
6	123	LOSE	0.0	15 	 0%
7	175	LOSE	0.0	43 	 0%
8	195	LOSE	0.0	19 	 0%
9	211	LOSE	0.0	15 	 0%
10	237	LOSE	0.0	21 	 0%
11	260	LOSE	0.0	21 	 0%
12	297	LOSE	0.0	29 	 0%
13	322	LOSE	0.0	21 	 0%
14	358	LOSE	0.0	29 	 0%
15	397	LOSE	0.0	29 	 0%
16	424	LOSE	0.0	23 	 0%
17	454	LOSE	0.0	23 	 0%
18	506	LOSE	0.0	41 	 0%
19	535	LOSE	0.0	25 	 0%
20	560	LOSE	0.0	21 	 0%
21	579	LOSE	0.0	15 	 0%
22	600	LOSE	0.0	19 	 0%
23	630	LOSE	0.0	25 	 0%
24	650	LOSE	0.0	17 	 0%
25	677	LOSE	0.0	21 	 0%
26	700	LOSE	0.0	19 	 0%
27	746	LOSE	0.0	36 	 0%
28	767	LOSE	0.0	17 	 0%
29	792	LOSE	0.0	19 	 0%
30	813	LOSE	0.0	19 	 0%
31	845	LOSE	0.0	23 	 0%
32	868	LOSE	0.0	21 	 0%
33	885	LOSE	0.0	15 	 0%
34	902	LOSE	0.0	15 	 0%
35	916	LOSE	0.0	13 	 0%
36	944	LOSE	0.0	21 	 0%
37	964	LOSE	0.0	17 	 0%
38	980	LOSE	0.0	15 	 0%
39	1012	LOSE	0.0	25 	 0%
40	1032	LOSE	0.0	17 	 0%
41	1067	LOSE	0.0	27 	 0%
42	1097	LOSE	0.0	25 	 0%
43	1125	LOSE	0.0	21 	 0%
44	1140	LOSE	0.0	15 	 0%
45	1177	LOSE	0.0	29 	 0%
46	1234	LOSE	0.0	45 	 0%
47	1255	LOSE	0.0	19 	 0%
48	1277	LOSE	0.0	19 	 0%
49	1324	LOSE	0.0	35 	 0%
50	1355	LOSE	0.0	27 	 0%
51	1390	LOSE	0.0	29 	 0%
52	1409	LOSE	0.0	17 	 0%
53	1449	WIN	16.0	29 	 1%
54	1476	LOSE	0.0	21 	 1%
55	1498	LOSE	0.0	19 	 1%
56	1520	LOSE	0.0	19 	 1%
57	1561	LOSE	0.0	31 	 1%
58	1582	LOSE	0.0	19 	 1%
59	1600	LOSE	0.0	17 	 1%
60	1641	LOSE	0.0	29 	 1%
61	1669	LOSE	0.0	23 	 1%
62	1686	LOSE	0.0	17 	 1%
63	1741	LOSE	0.0	45 	 1%
64	1780	LOSE	0.0	29 	 1%
65	1797	LOSE	0.0	15 	 1%
66	1836	LOSE	0.0	29 	 1%
67	1859	LOSE	0.0	17 	 1%
68	1873	LOSE	0.0	13 	 1%
69	1895	LOSE	0.0	19 	 1%
70	1941	LOSE	0.0	35 	 1%
71	1963	LOSE	0.0	17 	 1%
72	1986	LOSE	0.0	23 	 1%
73	2007	LOSE	0.0	21 	 1%
74	2022	LOSE	0.0	15 	 1%
75	2050	LOSE	0.0	23 	 1%
76	2067	LOSE	0.0	15 	 1%
77	2086	LOSE	0.0	17 	 1%
78	2131	LOSE	0.0	37 	 1%
79	2157	LOSE	0.0	21 	 1%
80	2177	LOSE	0.0	19 	 1%
81	2219	LOSE	0.0	33 	 1%
82	2251	LOSE	0.0	29 	 1%
83	2267	LOSE	0.0	15 	 1%
84	2294	LOSE	0.0	21 	 1%
85	2322	LOSE	0.0	21 	 1%
86	2378	LOSE	0.0	39 	 1%
87	2412	LOSE	0.0	27 	 1%
88	2436	LOSE	0.0	21 	 1%
89	2457	LOSE	0.0	17 	 1%
90	2498	LOSE	0.0	27 	 1%
91	2517	LOSE	0.0	17 	 1%
92	2574	LOSE	0.0	43 	 1%
93	2615	LOSE	0.0	29 	 1%
94	2635	LOSE	0.0	19 	 1%
95	2653	LOSE	0.0	17 	 1%
96	2703	LOSE	0.0	37 	 1%
97	2724	LOSE	0.0	17 	 1%
98	2748	LOSE	0.0	21 	 1%
99	2786	LOSE	0.0	31 	 1%
100	2816	LOSE	0.0	25 	 1%
101	2860	LOSE	0.0	31 	 1%
102	2901	LOSE	0.0	31 	 1%
103	2934	LOSE	0.0	29 	 1%
104	2950	LOSE	0.0	15 	 1%
105	2970	LOSE	0.0	17 	 1%
106	3007	LOSE	0.0	31 	 1%
