79	2157	Reward: 5.0	 Reward_mean: 4.8 	 Epsilon: 1.0 
80	2177	Reward: 1.0	 Reward_mean: 4.7 	 Epsilon: 1.0 
81	2219	Reward: 9.0	 Reward_mean: 4.8 	 Epsilon: 1.0 
82	2251	Reward: 3.0	 Reward_mean: 4.9 	 Epsilon: 1.0 
83	2267	Reward: 1.0	 Reward_mean: 4.5 	 Epsilon: 1.0 
84	2294	Reward: 6.0	 Reward_mean: 4.5 	 Epsilon: 1.0 
85	2322	Reward: 7.0	 Reward_mean: 4.7 	 Epsilon: 1.0 
86	2378	Reward: 17.0	 Reward_mean: 5.1 	 Epsilon: 1.0 
87	2412	Reward: 7.0	 Reward_mean: 5.0 	 Epsilon: 1.0 
88	2436	Reward: 3.0	 Reward_mean: 5.1 	 Epsilon: 1.0 
89	2457	Reward: 4.0	 Reward_mean: 5.2 	 Epsilon: 1.0 
90	2498	Reward: 14.0	 Reward_mean: 5.2 	 Epsilon: 1.0 
91	2517	Reward: 2.0	 Reward_mean: 5.1 	 Epsilon: 1.0 
92	2574	Reward: 14.0	 Reward_mean: 5.6 	 Epsilon: 1.0 
93	2615	Reward: 12.0	 Reward_mean: 5.7 	 Epsilon: 1.0 
94	2635	Reward: 1.0	 Reward_mean: 5.4 	 Epsilon: 1.0 
95	2653	Reward: 1.0	 Reward_mean: 5.3 	 Epsilon: 1.0 
96	2703	Reward: 13.0	 Reward_mean: 5.4 	 Epsilon: 1.0 
97	2724	Reward: 4.0	 Reward_mean: 5.4 	 Epsilon: 1.0 
98	2748	Reward: 3.0	 Reward_mean: 5.4 	 Epsilon: 1.0 
99	2786	Reward: 7.0	 Reward_mean: 5.6 	 Epsilon: 1.0 
100	2816	Reward: 5.0	 Reward_mean: 5.4 	 Epsilon: 1.0 
101	2860	Reward: 13.0	 Reward_mean: 5.6 	 Epsilon: 1.0 
102	2901	Reward: 10.0	 Reward_mean: 6.0 	 Epsilon: 1.0 
103	2934	Reward: 4.0	 Reward_mean: 6.1 	 Epsilon: 1.0 
104	2950	Reward: 1.0	 Reward_mean: 6.1 	 Epsilon: 1.0 
105	2970	Reward: 3.0	 Reward_mean: 6.1 	 Epsilon: 1.0 
106	3007	Reward: 6.0	 Reward_mean: 6.2 	 Epsilon: 1.0 
107	3020	Reward: 0.0	 Reward_mean: 6.1 	 Epsilon: 1.0 
108	3063	Reward: 8.0	 Reward_mean: 6.1 	 Epsilon: 1.0 
109	3080	Reward: 0.0	 Reward_mean: 6.0 	 Epsilon: 1.0 
110	3116	Reward: 5.0	 Reward_mean: 6.1 	 Epsilon: 1.0 
111	3135	Reward: 2.0	 Reward_mean: 5.9 	 Epsilon: 1.0 
112	3171	Reward: 9.0	 Reward_mean: 6.1 	 Epsilon: 1.0 
113	3208	Reward: 6.0	 Reward_mean: 6.2 	 Epsilon: 1.0 
114	3241	Reward: 6.0	 Reward_mean: 6.2 	 Epsilon: 1.0 
115	3279	Reward: 9.0	 Reward_mean: 6.3 	 Epsilon: 1.0 
116	3319	Reward: 9.0	 Reward_mean: 6.0 	 Epsilon: 1.0 
117	3361	Reward: 9.0	 Reward_mean: 6.1 	 Epsilon: 1.0 
118	3391	Reward: 5.0	 Reward_mean: 6.2 	 Epsilon: 1.0 
119	3421	Reward: 5.0	 Reward_mean: 6.2 	 Epsilon: 1.0 
120	3436	Reward: 2.0	 Reward_mean: 5.8 	 Epsilon: 1.0 
121	3467	Reward: 6.0	 Reward_mean: 5.9 	 Epsilon: 1.0 
122	3505	Reward: 9.0	 Reward_mean: 5.8 	 Epsilon: 1.0 
123	3522	Reward: 2.0	 Reward_mean: 5.4 	 Epsilon: 1.0 
124	3549	Reward: 6.0	 Reward_mean: 5.6 	 Epsilon: 1.0 
125	3573	Reward: 5.0	 Reward_mean: 5.7 	 Epsilon: 1.0 
126	3607	Reward: 5.0	 Reward_mean: 5.5 	 Epsilon: 1.0 
127	3628	Reward: 4.0	 Reward_mean: 5.5 	 Epsilon: 1.0 
128	3651	Reward: 4.0	 Reward_mean: 5.5 	 Epsilon: 1.0 
129	3689	Reward: 11.0	 Reward_mean: 5.6 	 Epsilon: 1.0 
130	3713	Reward: 3.0	 Reward_mean: 5.6 	 Epsilon: 1.0 
131	3757	Reward: 7.0	 Reward_mean: 5.4 	 Epsilon: 1.0 
132	3820	Reward: 16.0	 Reward_mean: 5.6 	 Epsilon: 1.0 
133	3842	Reward: 3.0	 Reward_mean: 5.5 	 Epsilon: 1.0 
134	3866	Reward: 3.0	 Reward_mean: 5.6 	 Epsilon: 1.0 
135	3894	Reward: 3.0	 Reward_mean: 5.6 	 Epsilon: 1.0 
136	3937	Reward: 12.0	 Reward_mean: 5.8 	 Epsilon: 1.0 
137	3963	Reward: 5.0	 Reward_mean: 6.0 	 Epsilon: 1.0 
138	3994	Reward: 6.0	 Reward_mean: 5.9 	 Epsilon: 1.0 
139	4023	Reward: 6.0	 Reward_mean: 6.1 	 Epsilon: 1.0 
140	4041	Reward: 1.0	 Reward_mean: 6.0 	 Epsilon: 1.0 
141	4065	Reward: 1.0	 Reward_mean: 5.9 	 Epsilon: 1.0 
142	4084	Reward: 2.0	 Reward_mean: 5.7 	 Epsilon: 1.0 
143	4113	Reward: 6.0	 Reward_mean: 5.7 	 Epsilon: 1.0 
144	4136	Reward: 2.0	 Reward_mean: 5.6 	 Epsilon: 1.0 
145	4176	Reward: 13.0	 Reward_mean: 5.7 	 Epsilon: 1.0 
146	4200	Reward: 5.0	 Reward_mean: 5.6 	 Epsilon: 1.0 
147	4221	Reward: 4.0	 Reward_mean: 5.4 	 Epsilon: 1.0 
148	4238	Reward: 2.0	 Reward_mean: 5.3 	 Epsilon: 1.0 
149	4253	Reward: 0.0	 Reward_mean: 5.1 	 Epsilon: 1.0 
150	4289	Reward: 7.0	 Reward_mean: 5.3 	 Epsilon: 1.0 
151	4354	Reward: 21.0	 Reward_mean: 5.8 	 Epsilon: 1.0 
152	4403	Reward: 16.0	 Reward_mean: 6.0 	 Epsilon: 1.0 
153	4427	Reward: 3.0	 Reward_mean: 6.1 	 Epsilon: 1.0 
154	4473	Reward: 9.0	 Reward_mean: 6.2 	 Epsilon: 1.0 
155	4506	Reward: 6.0	 Reward_mean: 6.2 	 Epsilon: 1.0 
156	4529	Reward: 4.0	 Reward_mean: 6.2 	 Epsilon: 1.0 
157	4554	Reward: 4.0	 Reward_mean: 6.2 	 Epsilon: 1.0 
158	4572	Reward: 1.0	 Reward_mean: 6.1 	 Epsilon: 1.0 
159	4597	Reward: 3.0	 Reward_mean: 5.8 	 Epsilon: 1.0 
160	4617	Reward: 1.0	 Reward_mean: 5.7 	 Epsilon: 1.0 
161	4634	Reward: 2.0	 Reward_mean: 5.6 	 Epsilon: 1.0 
162	4661	Reward: 6.0	 Reward_mean: 5.2 	 Epsilon: 1.0 
163	4686	Reward: 4.0	 Reward_mean: 5.3 	 Epsilon: 1.0 
164	4711	Reward: 2.0	 Reward_mean: 5.2 	 Epsilon: 1.0 
165	4736	Reward: 4.0	 Reward_mean: 5.3 	 Epsilon: 1.0 
166	4765	Reward: 6.0	 Reward_mean: 5.1 	 Epsilon: 1.0 
167	4787	Reward: 3.0	 Reward_mean: 5.0 	 Epsilon: 1.0 
168	4804	Reward: 2.0	 Reward_mean: 4.9 	 Epsilon: 1.0 
169	4838	Reward: 3.0	 Reward_mean: 4.8 	 Epsilon: 1.0 
170	4861	Reward: 4.0	 Reward_mean: 4.9 	 Epsilon: 1.0 
171	4889	Reward: 3.0	 Reward_mean: 4.9 	 Epsilon: 1.0 
172	4916	Reward: 4.0	 Reward_mean: 5.0 	 Epsilon: 1.0 
173	4960	Reward: 7.0	 Reward_mean: 5.0 	 Epsilon: 1.0 
174	4982	Reward: 3.0	 Reward_mean: 5.1 	 Epsilon: 1.0 
175	5016	Reward: 7.0	 Reward_mean: 4.9 	 Epsilon: 1.0 
176	5038	Reward: 3.0	 Reward_mean: 4.8 	 Epsilon: 1.0 
177	5068	Reward: 5.0	 Reward_mean: 4.8 	 Epsilon: 1.0 
178	5086	Reward: 1.0	 Reward_mean: 4.8 	 Epsilon: 1.0 
179	5111	Reward: 4.0	 Reward_mean: 4.9 	 Epsilon: 1.0 
180	5136	Reward: 4.0	 Reward_mean: 4.8 	 Epsilon: 1.0 
181	5159	Reward: 4.0	 Reward_mean: 4.3 	 Epsilon: 1.0 
182	5184	Reward: 2.0	 Reward_mean: 3.8 	 Epsilon: 1.0 
183	5221	Reward: 8.0	 Reward_mean: 4.0 	 Epsilon: 1.0 
184	5242	Reward: 4.0	 Reward_mean: 3.8 	 Epsilon: 1.0 
185	5268	Reward: 5.0	 Reward_mean: 3.8 	 Epsilon: 1.0 
186	5299	Reward: 8.0	 Reward_mean: 3.9 	 Epsilon: 1.0 
187	5323	Reward: 3.0	 Reward_mean: 3.9 	 Epsilon: 1.0 
188	5351	Reward: 5.0	 Reward_mean: 4.0 	 Epsilon: 1.0 
189	5373	Reward: 3.0	 Reward_mean: 4.0 	 Epsilon: 1.0 
190	5393	Reward: 1.0	 Reward_mean: 4.0 	 Epsilon: 1.0 
191	5417	Reward: 5.0	 Reward_mean: 4.1 	 Epsilon: 1.0 
192	5440	Reward: 4.0	 Reward_mean: 4.0 	 Epsilon: 1.0 
193	5463	Reward: 4.0	 Reward_mean: 4.0 	 Epsilon: 1.0 
194	5492	Reward: 8.0	 Reward_mean: 4.2 	 Epsilon: 1.0 
195	5507	Reward: 2.0	 Reward_mean: 4.2 	 Epsilon: 1.0 
196	5524	Reward: 2.0	 Reward_mean: 4.0 	 Epsilon: 1.0 
197	5538	Reward: 1.0	 Reward_mean: 4.0 	 Epsilon: 1.0 
198	5585	Reward: 10.0	 Reward_mean: 4.2 	 Epsilon: 1.0 
199	5612	Reward: 6.0	 Reward_mean: 4.3 	 Epsilon: 1.0 
200	5642	Reward: 5.0	 Reward_mean: 4.4 	 Epsilon: 1.0 
201	5690	Reward: 14.0	 Reward_mean: 4.7 	 Epsilon: 1.0 
202	5706	Reward: 1.0	 Reward_mean: 4.6 	 Epsilon: 1.0 
203	5742	Reward: 9.0	 Reward_mean: 4.7 	 Epsilon: 1.0 
204	5767	Reward: 4.0	 Reward_mean: 4.7 	 Epsilon: 1.0 
205	5789	Reward: 3.0	 Reward_mean: 4.6 	 Epsilon: 1.0 
206	5822	Reward: 8.0	 Reward_mean: 4.8 	 Epsilon: 1.0 
207	5852	Reward: 7.0	 Reward_mean: 4.8 	 Epsilon: 1.0 
208	5870	Reward: 3.0	 Reward_mean: 4.9 	 Epsilon: 1.0 
209	5886	Reward: 1.0	 Reward_mean: 4.8 	 Epsilon: 1.0 
210	5926	Reward: 11.0	 Reward_mean: 5.0 	 Epsilon: 1.0 
211	5959	Reward: 8.0	 Reward_mean: 5.2 	 Epsilon: 1.0 
212	5990	Reward: 7.0	 Reward_mean: 5.3 	 Epsilon: 1.0 
213	6013	Reward: 4.0	 Reward_mean: 5.2 	 Epsilon: 1.0 
214	6040	Reward: 6.0	 Reward_mean: 5.3 	 Epsilon: 1.0 
215	6064	Reward: 5.0	 Reward_mean: 5.3 	 Epsilon: 1.0 
216	6087	Reward: 4.0	 Reward_mean: 5.1 	 Epsilon: 1.0 
217	6128	Reward: 8.0	 Reward_mean: 5.3 	 Epsilon: 1.0 
218	6144	Reward: 1.0	 Reward_mean: 5.2 	 Epsilon: 1.0 
219	6198	Reward: 17.0	 Reward_mean: 5.6 	 Epsilon: 1.0 
220	6213	Reward: 0.0	 Reward_mean: 5.6 	 Epsilon: 1.0 
221	6247	Reward: 7.0	 Reward_mean: 5.7 	 Epsilon: 1.0 
222	6266	Reward: 4.0	 Reward_mean: 5.7 	 Epsilon: 1.0 
223	6301	Reward: 8.0	 Reward_mean: 5.8 	 Epsilon: 1.0 
224	6355	Reward: 15.0	 Reward_mean: 6.0 	 Epsilon: 1.0 
225	6392	Reward: 6.0	 Reward_mean: 6.2 	 Epsilon: 1.0 
